unit,phonemes,n_ph,ayah_collisions,distinct_surahs,basmala_cost,eff_misfire_contexts,example_hits
19:79#01,k a l l aa,5,710,94,0.2,823,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
19:82#01,k a l l aa,5,693,94,0.2,806,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
70:15#01,k a l l aa,5,678,94,0.2,791,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
70:39#01,k a l l aa,5,658,94,0.2,771,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
74:16#01,k a l l aa,5,639,94,0.2,752,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
74:53#01,k a l l aa,5,613,94,0.2,726,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
83:14#01,k a l l aa,5,587,93,0.2,700,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
89:17#01,k a l l aa,5,563,92,0.2,676,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
104:4#01,k a l l aa,5,537,92,0.2,650,1:1=0.2; 2:9=0.2; 2:15=0.2; 2:17=0.2
6:19#02,q u l i a l l aa h,9,367,69,0.33,480,1:1=0.33; 2:15=0.44; 2:55=0.44; 2:60=0.22
6:91#05,q u l i a l l aa h,9,353,69,0.33,466,1:1=0.33; 2:15=0.44; 2:55=0.44; 2:60=0.22
34:24#02,q u l i a l l aa h,9,331,68,0.33,444,1:1=0.33; 2:15=0.44; 2:55=0.44; 2:60=0.22
30:6#01,w a 3 d a a l l aa h,10,339,66,,339,2:7=0.3; 2:26=0.3; 2:27=0.2; 2:64=0.4
39:20#02,w a 3 d a a l l aa h,10,328,65,,328,2:7=0.3; 2:26=0.3; 2:27=0.2; 2:64=0.4
107:6,aa l l a dh ii n a h u m y u r aa ' uu n,18,321,65,,321,2:3=0.39; 2:4=0.39; 2:6=0.44; 2:21=0.44
40:74#01,m i n d uu n i a l l aa h,12,191,57,0.42,304,1:1=0.42; 2:23=0.0; 2:60=0.42; 2:89=0.25
3:125#01,b a l aa,4,301,85,,301,2:7=0.25; 2:12=0.25; 2:31=0.25; 2:38=0.25
9:95#03,' i n n a h u m r i j s,12,262,69,,262,2:12=0.33; 2:13=0.33; 2:46=0.33; 2:68=0.42
26:15#01,q aa l a k a l l aa,9,257,72,,257,2:30=0.44; 2:32=0.33; 2:45=0.44; 2:55=0.44
